Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
5055,CA-2015-141243,03-01-2015,08-01-2015,Second Class,AH-10465,Amy Hunt,Consumer,United States,Dallas,Texas,75217,Central,OFF-AR-10001246,Office Supplies,Art,Newell 317,7.056,3,0.2,0.7938
5056,CA-2015-141243,03-01-2015,08-01-2015,Second Class,AH-10465,Amy Hunt,Consumer,United States,Dallas,Texas,75217,Central,FUR-BO-10003272,Furniture,Bookcases,O'Sullivan Living Dimensions 5-Shelf Bookcases,1352.3976,9,0.32,-437.5404
5349,CA-2015-149811,04-01-2015,10-01-2015,Standard Class,CS-12250,Chris Selesnick,Corporate,United States,Woodbury,Minnesota,55125,Central,OFF-BI-10003676,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",32.34,3,0,15.5232
5350,CA-2015-149811,04-01-2015,10-01-2015,Standard Class,CS-12250,Chris Selesnick,Corporate,United States,Woodbury,Minnesota,55125,Central,OFF-PA-10004082,Office Supplies,Paper,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",39.9,5,0,19.95
5647,CA-2015-104241,04-01-2015,09-01-2015,Standard Class,AG-10495,Andrew Gjertsen,Corporate,United States,Alexandria,Virginia,22304,South,FUR-FU-10001473,Furniture,Furnishings,DAX Wood Document Frame,192.22,14,0,69.1992
4228,CA-2015-154970,05-01-2015,10-01-2015,Standard Class,SR-20740,Steven Roelle,Home Office,United States,Seattle,Washington,98103,West,FUR-CH-10003396,Furniture,Chairs,Global Deluxe Steno Chair,61.584,1,0.2,-6.9282
7720,CA-2015-108588,05-01-2015,10-01-2015,Standard Class,BG-11695,Brooke Gillingham,Corporate,United States,New York City,New York,10009,East,OFF-AR-10001615,Office Supplies,Art,Newell 34,59.52,3,0,15.4752
7721,CA-2015-108588,05-01-2015,10-01-2015,Standard Class,BG-11695,Brooke Gillingham,Corporate,United States,New York City,New York,10009,East,OFF-EN-10000461,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",17.48,2,0,8.2156
7722,CA-2015-108588,05-01-2015,10-01-2015,Standard Class,BG-11695,Brooke Gillingham,Corporate,United States,New York City,New York,10009,East,OFF-BI-10004506,Office Supplies,Binders,Wilson Jones data.warehouse D-Ring Binders with DublLock,13.168,2,0.2,4.6088
8375,CA-2015-158701,05-01-2015,10-01-2015,Standard Class,JL-15175,James Lanier,Home Office,United States,San Francisco,California,94110,West,OFF-AP-10004859,Office Supplies,Appliances,Acco 6 Outlet Guardian Premium Surge Suppressor,87.36,6,0,23.5872
8376,CA-2015-158701,05-01-2015,10-01-2015,Standard Class,JL-15175,James Lanier,Home Office,United States,San Francisco,California,94110,West,OFF-BI-10001294,Office Supplies,Binders,Fellowes Binding Cases,56.16,6,0.2,17.55
7717,CA-2015-149636,06-01-2015,12-01-2015,Standard Class,SP-20620,Stefania Perrino,Corporate,United States,Colorado Springs,Colorado,80906,West,OFF-PA-10004041,Office Supplies,Paper,"It's Hot Message Books with Stickers, 2 3/4"" x 5""",29.6,5,0.2,9.25
7718,CA-2015-149636,06-01-2015,12-01-2015,Standard Class,SP-20620,Stefania Perrino,Corporate,United States,Colorado Springs,Colorado,80906,West,OFF-BI-10002764,Office Supplies,Binders,Recycled Pressboard Report Cover with Reinforced Top Hinge,1.938,2,0.7,-1.3566
7091,CA-2015-119480,09-01-2015,13-01-2015,Standard Class,CC-12685,Craig Carroll,Consumer,United States,Henderson,Kentucky,42420,South,OFF-PA-10000474,Office Supplies,Paper,Easy-staple paper,106.32,3,0,49.9704
7092,CA-2015-119480,09-01-2015,13-01-2015,Standard Class,CC-12685,Craig Carroll,Consumer,United States,Henderson,Kentucky,42420,South,OFF-AP-10001205,Office Supplies,Appliances,Belkin 5 Outlet SurgeMaster Power Centers,163.44,3,0,45.7632
7093,CA-2015-119480,09-01-2015,13-01-2015,Standard Class,CC-12685,Craig Carroll,Consumer,United States,Henderson,Kentucky,42420,South,OFF-AR-10004691,Office Supplies,Art,Boston 1730 StandUp Electric Pencil Sharpener,42.76,2,0,11.1176
7094,CA-2015-119480,09-01-2015,13-01-2015,Standard Class,CC-12685,Craig Carroll,Consumer,United States,Henderson,Kentucky,42420,South,OFF-PA-10004996,Office Supplies,Paper,"Speediset Carbonless Redi-Letter 7"" x 8 1/2""",51.55,5,0,24.2285
1670,US-2015-157154,10-01-2015,15-01-2015,Standard Class,MM-17920,Michael Moore,Consumer,United States,New York City,New York,10011,East,FUR-TA-10001889,Furniture,Tables,Bush Advantage Collection Racetrack Conference Table,1018.104,4,0.4,-373.3048
5211,CA-2015-156755,12-01-2015,18-01-2015,Standard Class,YS-21880,Yana Sorensen,Corporate,United States,Newark,Delaware,19711,East,OFF-ST-10002615,Office Supplies,Storage,"Dual Level, Single-Width Filing Carts",465.18,3,0,120.9468
9797,CA-2015-128608,12-01-2015,17-01-2015,Standard Class,CS-12490,Cindy Schnelling,Corporate,United States,Toledo,Ohio,43615,East,OFF-AR-10001374,Office Supplies,Art,"BIC Brite Liner Highlighters, Chisel Tip",10.368,2,0.2,1.5552
9798,CA-2015-128608,12-01-2015,17-01-2015,Standard Class,CS-12490,Cindy Schnelling,Corporate,United States,Toledo,Ohio,43615,East,TEC-PH-10004977,Technology,Phones,GE 30524EE4,235.188,2,0.4,-43.1178
9799,CA-2015-128608,12-01-2015,17-01-2015,Standard Class,CS-12490,Cindy Schnelling,Corporate,United States,Toledo,Ohio,43615,East,TEC-PH-10000912,Technology,Phones,Anker 24W Portable Micro USB Car Charger,26.376,4,0.4,2.6376
9800,CA-2015-128608,12-01-2015,17-01-2015,Standard Class,CS-12490,Cindy Schnelling,Corporate,United States,Toledo,Ohio,43615,East,TEC-AC-10000487,Technology,Accessories,SanDisk Cruzer 4 GB USB Flash Drive,10.384,2,0.2,2.2066
9801,CA-2015-128608,12-01-2015,17-01-2015,Standard Class,CS-12490,Cindy Schnelling,Corporate,United States,Toledo,Ohio,43615,East,TEC-PH-10002262,Technology,Phones,LG Electronics Tone+ HBS-730 Bluetooth Headset,107.118,3,0.4,-21.4236
4857,CA-2015-137526,13-01-2015,17-01-2015,Standard Class,PB-19150,Philip Brown,Consumer,United States,Los Angeles,California,90004,West,OFF-BI-10003364,Office Supplies,Binders,Binding Machine Supplies,70.008,3,0.2,24.5028
4858,CA-2015-137526,13-01-2015,17-01-2015,Standard Class,PB-19150,Philip Brown,Consumer,United States,Los Angeles,California,90004,West,FUR-FU-10001861,Furniture,Furnishings,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",77.6,4,0,38.024
4859,CA-2015-137526,13-01-2015,17-01-2015,Standard Class,PB-19150,Philip Brown,Consumer,United States,Los Angeles,California,90004,West,FUR-FU-10004845,Furniture,Furnishings,"Deflect-o EconoMat Nonstudded, No Bevel Mat",464.85,9,0,92.97
8535,CA-2015-169677,13-01-2015,15-01-2015,Second Class,KS-16300,Karen Seio,Corporate,United States,Columbus,Georgia,31907,South,OFF-LA-10003223,Office Supplies,Labels,Avery 508,9.82,2,0,4.8118
468,US-2015-101399,17-01-2015,24-01-2015,Standard Class,JS-15940,Joni Sundaresam,Home Office,United States,Park Ridge,Illinois,60068,Central,FUR-FU-10002918,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,254.744,7,0.6,-312.0614
5327,CA-2015-152681,17-01-2015,22-01-2015,Standard Class,SC-20260,Scott Cohen,Corporate,United States,Lawrence,Massachusetts,1841,East,OFF-AR-10003183,Office Supplies,Art,Avery Fluorescent Highlighter Four-Color Set,6.68,2,0,2.004
6067,CA-2015-151547,17-01-2015,23-01-2015,Standard Class,AH-10465,Amy Hunt,Consumer,United States,Bartlett,Tennessee,38134,South,OFF-SU-10000898,Office Supplies,Supplies,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",88.96,8,0.2,10.008
6625,CA-2015-141250,19-01-2015,23-01-2015,Standard Class,PM-18940,Paul MacIntyre,Consumer,United States,Texas City,Texas,77590,Central,FUR-TA-10002855,Furniture,Tables,Bevis Round Conference Table Top & Single Column Base,102.438,1,0.3,-13.1706
6626,CA-2015-141250,19-01-2015,23-01-2015,Standard Class,PM-18940,Paul MacIntyre,Consumer,United States,Texas City,Texas,77590,Central,FUR-CH-10004875,Furniture,Chairs,Harbour Creations 67200 Series Stacking Chairs,199.304,4,0.3,-8.5416
2037,CA-2015-119214,23-01-2015,27-01-2015,Standard Class,CW-11905,Carl Weiss,Home Office,United States,Bozeman,Montana,59715,West,OFF-PA-10002893,Office Supplies,Paper,"Wirebound Service Call Books, 5 1/2"" x 4""",29.04,3,0,13.9392
2038,CA-2015-119214,23-01-2015,27-01-2015,Standard Class,CW-11905,Carl Weiss,Home Office,United States,Bozeman,Montana,59715,West,OFF-LA-10003077,Office Supplies,Labels,Avery 500,14.62,2,0,6.8714
7834,CA-2015-128958,24-01-2015,28-01-2015,Standard Class,CR-12820,Cyra Reiten,Home Office,United States,West Palm Beach,Florida,33407,South,OFF-AR-10004757,Office Supplies,Art,Crayola Colored Pencils,13.12,5,0.2,2.132
8909,CA-2015-109603,26-01-2015,01-02-2015,Standard Class,EM-13825,Elizabeth Moffitt,Corporate,United States,Moreno Valley,California,92553,West,OFF-PA-10003790,Office Supplies,Paper,Xerox 1991,182.72,8,0,84.0512
2537,CA-2015-168746,27-01-2015,29-01-2015,Second Class,SV-20365,Seth Vernon,Consumer,United States,Cleveland,Ohio,44105,East,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,181.986,2,0.3,-54.5958
2538,CA-2015-168746,27-01-2015,29-01-2015,Second Class,SV-20365,Seth Vernon,Consumer,United States,Cleveland,Ohio,44105,East,TEC-PH-10000895,Technology,Phones,Polycom VVX 310 VoIP phone,431.976,4,0.4,-100.7944
2539,CA-2015-168746,27-01-2015,29-01-2015,Second Class,SV-20365,Seth Vernon,Consumer,United States,Cleveland,Ohio,44105,East,TEC-PH-10002555,Technology,Phones,Nortel Meridian M5316 Digital phone,155.37,1,0.4,-36.253
9413,CA-2015-164777,27-01-2015,29-01-2015,First Class,SC-20305,Sean Christensen,Consumer,United States,Los Angeles,California,90036,West,FUR-CH-10002024,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,2803.92,5,0.2,0
9640,CA-2015-116638,28-01-2015,31-01-2015,Second Class,JH-15985,Joseph Holt,Consumer,United States,Concord,North Carolina,28027,South,FUR-TA-10000198,Furniture,Tables,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,4297.644,13,0.4,-1862.3124
1713,CA-2015-145401,30-01-2015,04-02-2015,Standard Class,JP-15520,Jeremy Pistek,Consumer,United States,Houston,Texas,77070,Central,OFF-PA-10004405,Office Supplies,Paper,Rediform Voice Mail Log Books,14.304,6,0.2,5.0064
2709,CA-2015-121797,30-01-2015,06-02-2015,Standard Class,CC-12145,Charles Crestani,Consumer,United States,Los Angeles,California,90049,West,FUR-FU-10001876,Furniture,Furnishings,"Computer Room Manger, 14""",227.36,7,0,81.8496
2710,CA-2015-121797,30-01-2015,06-02-2015,Standard Class,CC-12145,Charles Crestani,Consumer,United States,Los Angeles,California,90049,West,TEC-MA-10000488,Technology,Machines,Bady BDG101FRU Card Printer,1919.976,3,0.2,215.9973
93,CA-2015-149587,31-01-2015,05-02-2015,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,12.96,2,0,6.2208
94,CA-2015-149587,31-01-2015,05-02-2015,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0,16.5354
95,CA-2015-149587,31-01-2015,05-02-2015,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2,0,16.1504
808,CA-2015-140921,03-02-2015,05-02-2015,First Class,AA-10375,Allen Armold,Consumer,United States,Omaha,Nebraska,68104,Central,FUR-FU-10003347,Furniture,Furnishings,Coloredge Poster Frame,28.4,2,0,11.076
809,CA-2015-140921,03-02-2015,05-02-2015,First Class,AA-10375,Allen Armold,Consumer,United States,Omaha,Nebraska,68104,Central,TEC-AC-10004901,Technology,Accessories,Kensington SlimBlade Notebook Wireless Mouse with Nano Receiver ,149.97,3,0,50.9898
1909,CA-2015-157959,03-02-2015,04-02-2015,First Class,RW-19540,Rick Wilson,Corporate,United States,Los Angeles,California,90008,West,FUR-FU-10004093,Furniture,Furnishings,Hand-Finished Solid Wood Document Frame,136.92,4,0,41.076
7062,CA-2015-132633,03-02-2015,05-02-2015,Second Class,KH-16630,Ken Heidel,Corporate,United States,Pleasant Grove,Utah,84062,West,OFF-BI-10002432,Office Supplies,Binders,Wilson Jones Standard D-Ring Binders,12.144,3,0.2,4.0986
7764,CA-2015-103093,03-02-2015,07-02-2015,Standard Class,FO-14305,Frank Olsen,Consumer,United States,Columbus,Georgia,31907,South,OFF-EN-10003286,Office Supplies,Envelopes,Staple envelope,74.52,9,0,35.0244
7826,CA-2015-127327,03-02-2015,07-02-2015,Standard Class,PW-19030,Pauline Webber,Corporate,United States,Rome,New York,13440,East,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",90.882,1,0.1,15.147
1555,CA-2015-111507,06-02-2015,13-02-2015,Standard Class,VW-21775,Victoria Wilson,Corporate,United States,Bellevue,Washington,98006,West,OFF-AR-10001315,Office Supplies,Art,Newell 310,5.28,3,0,1.5312
4941,CA-2015-156482,06-02-2015,13-02-2015,Standard Class,IL-15100,Ivan Liston,Consumer,United States,Wilmington,Delaware,19805,East,FUR-CH-10001708,Furniture,Chairs,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,1268.82,9,0,266.4522
4942,CA-2015-156482,06-02-2015,13-02-2015,Standard Class,IL-15100,Ivan Liston,Consumer,United States,Wilmington,Delaware,19805,East,FUR-BO-10002598,Furniture,Bookcases,"Hon Metal Bookcases, Putty",283.92,4,0,82.3368
4943,CA-2015-156482,06-02-2015,13-02-2015,Standard Class,IL-15100,Ivan Liston,Consumer,United States,Wilmington,Delaware,19805,East,OFF-AR-10001022,Office Supplies,Art,SANFORD Liquid Accent Tank-Style Highlighters,5.68,2,0,1.7608
8126,CA-2015-137064,06-02-2015,13-02-2015,Standard Class,TS-21655,Trudy Schmidt,Consumer,United States,Houston,Texas,77070,Central,OFF-BI-10002049,Office Supplies,Binders,UniKeep View Case Binders,2.934,3,0.8,-4.9878
8127,CA-2015-137064,06-02-2015,13-02-2015,Standard Class,TS-21655,Trudy Schmidt,Consumer,United States,Houston,Texas,77070,Central,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,18.528,2,0.2,4.4004
8128,CA-2015-137064,06-02-2015,13-02-2015,Standard Class,TS-21655,Trudy Schmidt,Consumer,United States,Houston,Texas,77070,Central,OFF-ST-10003470,Office Supplies,Storage,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",670.752,3,0.2,-125.766
9084,CA-2015-104038,06-02-2015,08-02-2015,First Class,LO-17170,Lori Olson,Corporate,United States,Suffolk,Virginia,23434,South,OFF-ST-10002554,Office Supplies,Storage,Tennsco Industrial Shelving,146.73,3,0,2.9346
9085,CA-2015-104038,06-02-2015,08-02-2015,First Class,LO-17170,Lori Olson,Corporate,United States,Suffolk,Virginia,23434,South,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920,29.9,5,0,13.455
6390,CA-2015-147529,07-02-2015,11-02-2015,Standard Class,DK-12835,Damala Kotsonis,Corporate,United States,Springfield,Virginia,22153,South,OFF-EN-10000056,Office Supplies,Envelopes,Cameo Buff Policy Envelopes,311.15,5,0,146.2405
6391,CA-2015-147529,07-02-2015,11-02-2015,Standard Class,DK-12835,Damala Kotsonis,Corporate,United States,Springfield,Virginia,22153,South,OFF-PA-10003349,Office Supplies,Paper,Xerox 1957,12.96,2,0,6.3504
763,CA-2015-114923,08-02-2015,13-02-2015,Standard Class,LH-17020,Lisa Hazard,Consumer,United States,Columbus,Ohio,43229,East,TEC-PH-10003931,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker,107.982,3,0.4,-26.9955
7612,US-2015-130491,08-02-2015,11-02-2015,First Class,BH-11710,Brosina Hoffman,Consumer,United States,Garden City,Kansas,67846,Central,OFF-PA-10000791,Office Supplies,Paper,"Wirebound Message Books, Four 2 3/4 x 5 Forms per Page, 200 Sets per Book",9.54,2,0,4.293
7613,US-2015-130491,08-02-2015,11-02-2015,First Class,BH-11710,Brosina Hoffman,Consumer,United States,Garden City,Kansas,67846,Central,OFF-FA-10000134,Office Supplies,Fasteners,"Advantus Push Pins, Aluminum Head",5.81,1,0,1.8011
7614,US-2015-130491,08-02-2015,11-02-2015,First Class,BH-11710,Brosina Hoffman,Consumer,United States,Garden City,Kansas,67846,Central,OFF-AR-10001149,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",5.76,2,0,1.728
212,CA-2015-101007,09-02-2015,13-02-2015,Second Class,MS-17980,Michael Stewart,Corporate,United States,Dallas,Texas,75220,Central,TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB,20.8,2,0.2,6.5
1843,CA-2015-135391,09-02-2015,11-02-2015,Second Class,FA-14230,Frank Atkinson,Corporate,United States,San Antonio,Texas,78207,Central,OFF-LA-10001074,Office Supplies,Labels,Round Specialty Laser Printer Labels,40.096,4,0.2,13.5324
1844,CA-2015-135391,09-02-2015,11-02-2015,Second Class,FA-14230,Frank Atkinson,Corporate,United States,San Antonio,Texas,78207,Central,FUR-FU-10001986,Furniture,Furnishings,"Dana Fluorescent Magnifying Lamp, White, 36""",40.784,2,0.6,-30.588
3273,CA-2015-146038,09-02-2015,16-02-2015,Standard Class,SJ-20215,Sarah Jordon,Consumer,United States,Los Angeles,California,90049,West,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",203.92,5,0.2,22.941
7095,US-2015-153374,09-02-2015,13-02-2015,Second Class,JF-15565,Jill Fjeld,Consumer,United States,Decatur,Illinois,62521,Central,TEC-AC-10001908,Technology,Accessories,Logitech Wireless Headset h800,479.952,6,0.2,89.991
7298,CA-2015-101126,10-02-2015,14-02-2015,Second Class,NB-18655,Nona Balk,Corporate,United States,Philadelphia,Pennsylvania,19143,East,OFF-ST-10000943,Office Supplies,Storage,Eldon ProFile File 'N Store Portable File Tub Letter/Legal Size Black,77.24,5,0.2,7.724
4322,US-2015-147662,14-02-2015,19-02-2015,Standard Class,KB-16315,Karl Braun,Consumer,United States,Akron,Ohio,44312,East,OFF-BI-10001658,Office Supplies,Binders,GBC Standard Therm-A-Bind Covers,14.952,2,0.7,-11.9616
4323,US-2015-147662,14-02-2015,19-02-2015,Standard Class,KB-16315,Karl Braun,Consumer,United States,Akron,Ohio,44312,East,TEC-PH-10002834,Technology,Phones,Google Nexus 5,323.982,3,0.4,-80.9955
4324,US-2015-147662,14-02-2015,19-02-2015,Standard Class,KB-16315,Karl Braun,Consumer,United States,Akron,Ohio,44312,East,OFF-BI-10002160,Office Supplies,Binders,Acco Hanging Data Binders,2.286,2,0.7,-1.6764
4325,US-2015-147662,14-02-2015,19-02-2015,Standard Class,KB-16315,Karl Braun,Consumer,United States,Akron,Ohio,44312,East,OFF-AR-10004999,Office Supplies,Art,Newell 315,14.352,3,0.2,0.897
4326,US-2015-147662,14-02-2015,19-02-2015,Standard Class,KB-16315,Karl Braun,Consumer,United States,Akron,Ohio,44312,East,TEC-AC-10003280,Technology,Accessories,Belkin F8E887 USB Wired Ergonomic Keyboard,71.976,3,0.2,0.8997
7685,CA-2015-116876,14-02-2015,21-02-2015,Standard Class,TT-21070,Ted Trevino,Consumer,United States,Rochester,New York,14609,East,OFF-BI-10002897,Office Supplies,Binders,"Black Avery Memo-Size 3-Ring Binder, 5 1/2"" x 8 1/2""",26.424,9,0.2,9.5787
7686,CA-2015-116876,14-02-2015,21-02-2015,Standard Class,TT-21070,Ted Trevino,Consumer,United States,Rochester,New York,14609,East,TEC-PH-10002584,Technology,Phones,Samsung Galaxy S4,625.99,1,0,187.797
1788,CA-2015-154326,15-02-2015,19-02-2015,Standard Class,RP-19855,Roy Phan,Corporate,United States,Kenosha,Wisconsin,53142,Central,TEC-PH-10001819,Technology,Phones,Innergie mMini Combo Duo USB Travel Charging Kit,134.97,3,0,64.7856
1789,CA-2015-154326,15-02-2015,19-02-2015,Standard Class,RP-19855,Roy Phan,Corporate,United States,Kenosha,Wisconsin,53142,Central,TEC-PH-10000560,Technology,Phones,Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),699.98,2,0,195.9944
1790,CA-2015-154326,15-02-2015,19-02-2015,Standard Class,RP-19855,Roy Phan,Corporate,United States,Kenosha,Wisconsin,53142,Central,TEC-AC-10004568,Technology,Accessories,Maxell LTO Ultrium - 800 GB,139.95,5,0,26.5905
2248,CA-2015-116092,15-02-2015,18-02-2015,Second Class,JM-16195,Justin MacKendrick,Consumer,United States,Los Angeles,California,90004,West,OFF-PA-10004285,Office Supplies,Paper,Xerox 1959,13.36,2,0,6.4128
2249,CA-2015-116092,15-02-2015,18-02-2015,Second Class,JM-16195,Justin MacKendrick,Consumer,United States,Los Angeles,California,90004,West,OFF-BI-10001628,Office Supplies,Binders,"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity",41.72,5,0.2,13.0375
2250,CA-2015-116092,15-02-2015,18-02-2015,Second Class,JM-16195,Justin MacKendrick,Consumer,United States,Los Angeles,California,90004,West,OFF-BI-10000546,Office Supplies,Binders,Avery Durable Binders,11.52,5,0.2,4.176
2251,CA-2015-116092,15-02-2015,18-02-2015,Second Class,JM-16195,Justin MacKendrick,Consumer,United States,Los Angeles,California,90004,West,OFF-AP-10001391,Office Supplies,Appliances,Kensington 6 Outlet MasterPiece HOMEOFFICE Power Control Center,541.44,6,0,157.0176
2252,CA-2015-116092,15-02-2015,18-02-2015,Second Class,JM-16195,Justin MacKendrick,Consumer,United States,Los Angeles,California,90004,West,OFF-PA-10000477,Office Supplies,Paper,Xerox 22,19.44,3,0,9.3312
6744,CA-2015-156923,16-02-2015,20-02-2015,Standard Class,SP-20860,Sung Pak,Corporate,United States,Dover,New Hampshire,3820,East,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920,35.88,6,0,16.146
8135,CA-2015-121776,16-02-2015,21-02-2015,Standard Class,RD-19585,Rob Dowd,Consumer,United States,Los Angeles,California,90008,West,OFF-PA-10001970,Office Supplies,Paper,Xerox 1881,36.84,3,0,17.3148
8136,CA-2015-121776,16-02-2015,21-02-2015,Standard Class,RD-19585,Rob Dowd,Consumer,United States,Los Angeles,California,90008,West,OFF-LA-10002762,Office Supplies,Labels,Avery 485,87.71,7,0,41.2237
4217,CA-2015-111234,18-02-2015,22-02-2015,Standard Class,AB-10600,Ann Blume,Corporate,United States,Los Angeles,California,90004,West,OFF-LA-10002271,Office Supplies,Labels,Smead Alpha-Z Color-Coded Second Alphabetical Labels and Starter Set,9.24,3,0,4.4352
4739,CA-2015-105725,18-02-2015,24-02-2015,Standard Class,GT-14755,Guy Thornton,Consumer,United States,Long Beach,California,90805,West,OFF-LA-10003510,Office Supplies,Labels,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",61.06,2,0,28.0876
4740,CA-2015-105725,18-02-2015,24-02-2015,Standard Class,GT-14755,Guy Thornton,Consumer,United States,Long Beach,California,90805,West,FUR-TA-10001676,Furniture,Tables,Hon 61000 Series Interactive Training Tables,35.544,1,0.2,-0.8886
2642,CA-2015-169740,20-02-2015,25-02-2015,Standard Class,LM-17065,Liz MacKendrick,Consumer,United States,Hot Springs,Arkansas,71901,South,TEC-AC-10000927,Technology,Accessories,Anker Ultrathin Bluetooth Wireless Keyboard Aluminum Cover with Stand ,29.99,1,0,2.999
3463,CA-2015-152611,20-02-2015,23-02-2015,Second Class,KA-16525,Kelly Andreada,Consumer,United States,Perth Amboy,New Jersey,8861,East,OFF-AR-10003903,Office Supplies,Art,Sanford 52201 APSCO Electric Pencil Sharpener,286.79,7,0,74.5654
2735,CA-2015-129770,21-02-2015,23-02-2015,Second Class,JE-15715,Joe Elijah,Consumer,United States,Las Cruces,New Mexico,88001,West,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,49.12,4,0,23.0864
7281,CA-2015-162782,21-02-2015,27-02-2015,Standard Class,PW-19240,Pierre Wener,Consumer,United States,Columbia,Maryland,21044,East,OFF-BI-10003527,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,2541.98,2,0,1270.99
